park_name,postcode,website,staticcaravanparks_url,telephone,no_pitches,pitch_fees,season_pitches_box_found,data_source,county,town,region,region_fallback_used,status,chain
Clifton Fields Caravan Park,FY4 5JU,http://www.pipersheight.co.uk/,https://www.staticcaravanparks.co.uk/parks/lancashire/clifton-fields-caravan-park,,,,,master_parks_working.csv (Found (in original directory)),Lancashire,Westby-with-Plumptons,North West,no,enquire,
Detron Gate Caravan Park,LA5 9TN,https://www.holgates.co.uk/bay-view,https://www.staticcaravanparks.co.uk/parks/lancashire/detron-gate-caravan-park,01524 701508,,,,master_parks_working.csv (Found (in original directory)),Lancashire,Bolton-le-Sands,North West,no,listings not scraped,Holgates
Falls Park,LA6 3JH,http://www.falls-park.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/falls-park,01524 241 010,,,,master_parks_working.csv (Confirmed - ukparks.com directory),North Yorkshire,Ingleton,Yorkshire and Humber,no,no sales found,
Foxhouses Park,PR3 1DB,https://www.foxhousespark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/foxhouses-park,01995 603 271,,,,master_parks_working.csv (Confirmed - for sale content found),Lancashire,Nether Wyresdale,North West,no,listings,
Hackings Caravan Park,BB7 9HZ,https://www.hackingscaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/hackings-caravan-park,01254 822680,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Billington and Langho,North West,no,enquire,
Hawthorns Park,LA6 1EA,https://www.hawthornscaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/hawthorns-park,01524 732079,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Nether Kellet,North West,no,enquire,
Holgates Ribble Valley,BB7 4EE,https://www.parkholidays.com,https://www.staticcaravanparks.co.uk/parks/lancashire/holgates-ribble-valley,01200 445 355,,,,master_parks_working.csv (Confirmed - real listing scraped),Lancashire,Rimington,North West,no,enquire,Park Holidays
Hurlston Hall Country Caravan Park,L40 8HB,https://www.hurlstonhall.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/hurlston-hall-country-caravan-park,01704 841064,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Scarisbrick,North West,no,listings not scraped,
Merlewood Country Park,PR3 0YP,https://www.MerlewoodCountryPark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/merlewood-country-park,01995 670 317,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Little Eccleston-with-Larbreck,North West,no,listings not scraped,
Moorlands Caravan Park,OL3 5UN,https://www.moorlandscp.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/moorlands-caravan-park,01457 874 348,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Oldham,Saddleworth,North West,no,enquire,
Morecambe Lodge Caravan Park,LA5 8JP,https://www.morecambe-lodge.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/morecambe-lodge-caravan-park,01524 824 361,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Bolton-le-Sands,North West,no,listings not scraped,
Mowbreck Holiday and Residential Park,PR4 3JR,https://www.mowbreckpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/mowbreck-holiday-and-residential-park,01772 682 494,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Medlar-with-Wesham,North West,no,enquire,
New England Caravan Park,LA6 1AD,https://www.newenglandcaravanpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/lancashire/new-england-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Over Kellet,North West,no,no sales found,
Old Hall Caravan Park,LA6 1AD,http://www.oldhallcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/old-hall-caravan-park,01524 733 276,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Over Kellet,North West,no,blocked,
Pipers Height Caravan Park,FY4 5JT,https://www.pipersheight.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/pipers-height-caravan-park,01253 763 767,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Westby-with-Plumptons,North West,no,enquire,
Ribblesdale Park,BB7 4LP,https://www.ribblesdalepark.com,https://www.staticcaravanparks.co.uk/parks/lancashire/ribblesdale-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Gisburn,North West,no,enquire,
Sandside Caravan Park,LA5 8JS,https://www.sandsidecaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/sandside-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Bolton-le-Sands,North West,no,enquire,
South Lakeland Leisure Village,LA6 1BH,https://www.pure-leisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/south-lakeland-leisure-village,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Warton,North West,no,listings not scraped,Pure Leisure
Todber Valley,BB7 4JJ,http://www.parkdeanresorts.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/todber-valley,01200 445322,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Rimington,North West,no,blocked,Parkdean
Westgate Caravan Park,LA3 3DE,https://www.westgatecaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/westgate-caravan-park,01524 411 448,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Morecambe,North West,no,listings not scraped,
Wild Boar Caravan Park,PR3 0UH,https://www.wildboarcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/wild-boar-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Upper Rawcliffe-with-Tarnacre,North West,no,enquire,
Wyreside Farm Park,PR3 0TZ,https://www.wyresidefarmpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lancashire/wyreside-farm-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lancashire,Upper Rawcliffe-with-Tarnacre,North West,no,enquire,
Charnwood Acres Caravan Park,LE6 0LU,http://www.charnwoodacres.co.uk/,https://www.staticcaravanparks.co.uk/parks/leicestershire/charnwood-acres-caravan-park,01332 792832,,,,master_parks_working.csv (Found (in original directory)),Leicestershire,Ratby,Central England,no,enquire,
Mablethorpe Chalet Park Ltd,LN12 1QN,https://tingdeneholidayparks.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/mablethorpe-chalet-park-ltd,01507 473 732,,,,master_parks_working.csv (Confirmed - part of existing scraper coverage),Lincolnshire,Mablethorpe and Sutton,Central England,no,listings,Tingdene Holiday Parks
7 Lakes Country Park,DN17 4BQ,http://www.7lakes.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/7-lakes-country-park,01724 712211,,,,master_parks_working.csv (Found (in original directory)),North Lincolnshire,Crowle and Ealand,Yorkshire and Humber,no,enquire,
Anderby Springs,PE24 5XW,https://www.springsholidayestates.co.uk/AnderbySprings/index.html,https://www.staticcaravanparks.co.uk/parks/lincolnshire/anderby-springs,01754872265,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Anderby,Central England,yes,blocked,Springs Holiday Estates
Annandale Caravan Park,PE25 1HS,http://www.annandalepark.co.uk/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/annandale-caravan-park,07702 275622,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Skegness,Central England,yes,blocked,
Barham Caravan Park,PE25 1JE,http://www.barhamcaravan.co.uk/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/barham-caravan-park,01754 766 962,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Ingoldmells,Central England,yes,enquire,
Baythorpe Caravan Park,PE25 2RA,https://www.baythorpepark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/baythorpe-caravan-park,01754 898 905,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Skegness,Central England,yes,enquire,
Beachcomber Holiday Centre,DN36 4ET,http://www.beachcomberholidaypark.co.uk/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beachcomber-holiday-centre,01472 812 666,,,,master_parks_working.csv (Found (in original directory)),North East Lincolnshire,Humberston,Yorkshire and Humber,no,blocked,
Beachside Holiday Estate,PE24 5XP,http://www.beachsidecaravanpark.com/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beachside-holiday-estate,01754 872 261,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Anderby,Central England,yes,no sales found,
Beacon Park Homes,PE25 1HL,http://www.beaconpark.info/home.htm,https://www.staticcaravanparks.co.uk/parks/lincolnshire/beacon-park-homes,01754 610842,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Skegness,Central England,no,blocked,
Bell Bank Caravan Holiday Park,PE24 5TU,http://www.blueanchorleisure.co.uk/bell-bank-caravan-park/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/bell-bank-caravan-holiday-park,01754 872292.,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Chapel St. Leonards,Central England,yes,enquire,Blue Anchor Leisure
Bempton Caravan and Chalet Park,YO15 1JF,http://www.bridlingtoncaravans.com/caravan_parks/bempton-chalet-park/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/bempton-caravan-and-chalet-park,,,,,master_parks_working.csv (Found (in original directory)),East Riding of Yorkshire,Bempton,Yorkshire and Humber,no,enquire,
Blue Anchor Leisure,PE25 1JE,https://blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/blue-anchor-leisure,01754 897897,,,,"master_parks_working.csv (Confirmed - multi-park operator, in scraper)",Lincolnshire,Ingoldmells,Central England,yes,enquire,Blue Anchor Leisure
Blue Dolphin Caravan Park,LN12 2NX,http://www.skegness-caravans.co.uk/blue_dolphin.html,https://www.staticcaravanparks.co.uk/parks/lincolnshire/blue-dolphin-caravan-park,01754 763441,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Mablethorpe and Sutton,Central England,yes,blocked,
Bridge Farm Caravan Park,PE22 0UG,https://www.bridgefarmcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/bridge-farm-caravan-park,07966 452 961,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Sibsey,Central England,no,no sales found,
Castaways Holiday Park,PE25 1LZ,http://castawaysholidaypark.net/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/castaways-holiday-park,01754 871 382,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Ingoldmells,Central England,yes,enquire,
Catch Water Meadow Leisure Park,PE24 5JD,http://www.catchwatermeadow.co.uk/about.php,https://www.staticcaravanparks.co.uk/parks/lincolnshire/catch-water-meadow-leisure-park,,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Burgh le Marsh,Central England,no,blocked,
Chapel Hill Marina and Caravan Park,LN4 4QB,http://www.lodgeslincolnshire.co.uk/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/chapel-hill-marina-and-caravan-park,,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Holland Fen with Brothertoft,Central England,no,blocked,
Cherry Lea Holiday Park,PE24 4UF,http://www.cherrylea.co.uk/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/cherry-lea-holiday-park,,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Burgh le Marsh,Central England,no,blocked,
Coastfield Leisure Village,PE25 1LU,http://www.coastfieldsleisureltd.co.uk/contact-us/,https://www.staticcaravanparks.co.uk/parks/lincolnshire/coastfield-leisure-village,01754 872592,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Ingoldmells,Central England,yes,blocked,
Coral Beach Leisure,PE25 1JW,http://www.coral-beach.co.uk/contact.php,https://www.staticcaravanparks.co.uk/parks/lincolnshire/coral-beach-leisure,01754 872 402,,,,master_parks_working.csv (Found (in original directory)),Lincolnshire,Ingoldmells,Central England,yes,enquire,
Country Meadows Holiday Park,PE25 1LZ,https://www.countrymeadows.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/country-meadows-holiday-park,01754 874455,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Ingoldmells,Central England,yes,listings not scraped,
Croft Bank Holiday Park,PE24 4RE,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/croft-bank-holiday-park,01754 763 887,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Croft,Central England,no,enquire,Blue Anchor Leisure
Elmhirst Lakes,LN9 5LU,https://www.elmhirstlakes.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/elmhirst-lakes,01507527533,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Horncastle,Central England,no,blocked,
Fantasy Island Sunnymede Caravan Park,PE25 1RH,https://www.fantasyislandcaravansales.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/fantasy-island-sunnymede-caravan-park,01754 872 020,,,,master_parks_working.csv (Confirmed - for sale content found),Lincolnshire,Ingoldmells,Central England,yes,listings not scraped,
Golden Anchor Caravan Park,PE24 5TU,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/golden-anchor-caravan-park,01754 872292,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Chapel St. Leonards,Central England,yes,enquire,Blue Anchor Leisure
Golden Beach Holiday Park,PE25 1LT,https://www.golden-beach.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/golden-beach-holiday-park,01754 873 000,,,,master_parks_working.csv (Website found - sale relevance unconfirmed),Lincolnshire,Ingoldmells,Central England,yes,listings,Golden Beach
Golden Palm Resort,PE24 5TR,https://www.goldenpalmresort.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/golden-palm-resort,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Chapel St. Leonards,Central England,yes,listings,
Highgate Park,LN12 2RY,https://www.highgate-park.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/highgate-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,listings not scraped,
Holivans,LN12 1HQ,https://www.holivans.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/holivans,01507 473 327,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,blocked,
Mermaid Caravan Park,LN12 2NX,http://mermaidcaravanpark.wixsite.com/mermaid,https://www.staticcaravanparks.co.uk/parks/lincolnshire/mermaid-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,blocked,
Merryfield Caravan Park,PE24 5TL,https://www.coastfields.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/merryfield-caravan-park,,,,,master_parks_working.csv (Confirmed - part of existing scraper coverage),Lincolnshire,Chapel St. Leonards,Central England,yes,listings not scraped,Coastfields Leisure
Millfields Caravan Park,PE25 1JH,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/millfields-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Addlethorpe,Central England,yes,enquire,Blue Anchor Leisure
Orchard Park,PE20 3QU,https://www.orchardpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/orchard-park,01205 290 328,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Frampton,Central England,no,no sales found,
Priory Caravan Park,YO16 7BA,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/priory-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),East Riding of Yorkshire,Bridlington,Yorkshire and Humber,no,enquire,Blue Anchor Leisure
Sandfield Holiday Centre,PE24 5TP,https://www.coastfields.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/sandfield-holiday-centre,,,,,master_parks_working.csv (Confirmed - part of existing scraper coverage),Lincolnshire,Chapel St. Leonards,Central England,yes,listings not scraped,Coastfields Leisure
Seacroft Holiday Estates,LN12 2PN,https://www.seacroftcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/seacroft-holiday-estates,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,enquire,
Short Ferry Caravan Park,LN3 4HU,http://www.shortferry.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/short-ferry-caravan-park,01526 398 021,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Fiskerton,Central England,no,enquire,
Smallgrove Caravan Park,PE25 1NU,https://www.coastfields.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/smallgrove-caravan-park,01754 872 519,,,,master_parks_working.csv (Confirmed - real listing scraped),Lincolnshire,Ingoldmells,Central England,yes,listings not scraped,Coastfields Leisure
Stows Manor Farm Caravan Park,PE25 1HY,https://www.manorfarmcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/stows-manor-farm-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Skegness,Central England,no,no sales found,
Sutton Springs Holiday Estate,LN12 2PZ,https://www.springsholidayestates.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/sutton-springs-holiday-estate,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,no sales found,Springs Holiday Estates
Swallow Park Caravan Site,LN12 1QG,https://www.swallowpark.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/swallow-park-caravan-site,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,no,no sales found,
The Chase Caravan Park,PE25 1LZ,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/the-chase-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Ingoldmells,Central England,yes,enquire,Blue Anchor Leisure
The Deepings Caravan Park,PE6 8LQ,https://www.thedeepings.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/the-deepings-caravan-park,01778 344 335,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Market Deeping,Central England,no,blocked,
The Grange Caravan Park,PE25 1LZ,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/the-grange-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Ingoldmells,Central England,yes,enquire,Blue Anchor Leisure
Tomlinsons Leisure Park Ltd,PE24 5TL,https://www.tomlinsons-leisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/tomlinsons-leisure-park-ltd,01754 872 241,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Chapel St. Leonards,Central England,yes,listings not scraped,
Torksey Caravan Park,LN1 2EJ,https://www.qualitycaravans.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/torksey-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Fenton,Central England,no,no sales found,
Towervans Caravan Park,LN12 2NX,https://www.blueanchorleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/lincolnshire/towervans-caravan-park,01507 472 459,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,yes,enquire,Blue Anchor Leisure
Trusthorpe Springs Leisure Park,LN12 2QQ,https://www.springsholidayestates.co.uk/TrusthorpeSprings/index.html,https://www.staticcaravanparks.co.uk/parks/lincolnshire/trusthorpe-springs-leisure-park,01507 441 384,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Mablethorpe and Sutton,Central England,no,blocked,Springs Holiday Estates
White Swan Caravan Park,LN1 2EJ,https://www.qualitycaravans.com,https://www.staticcaravanparks.co.uk/parks/lincolnshire/white-swan-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Lincolnshire,Fenton,Central England,no,no sales found,
Formby Point Caravan Park,L37 2EB,https://www.formbypointcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/merseyside/formby-point-caravan-park,01704 874 367,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Sefton,Formby,North West,no,blocked,
Leakes Caravan Park,NR27 9NH,http://www.leakescaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/leakes-caravan-park,01263515807,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Runton,General East,yes,listings not scraped,
Pioneer Holiday Park,PE31 7BB,https://www.pioneercaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/pioneer-holiday-park,01485 570 372,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Heacham,General East,no,listings not scraped,
Summerfields Holiday Park,NR29 3NW,https://www.parkdeanresorts.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/summerfields-holiday-park,01493731419,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Ormesby St. Margaret with Scratby,General East,no,listings not scraped,Parkdean
4 Shores Caravan Park,PE36 5BA,http://www.mcdonnellcaravans.co.uk/pages/park-locations/hunstanton-4shores-the-promenade.php,https://www.staticcaravanparks.co.uk/parks/norfolk/4-shores-caravan-park,01485 535 961,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Hunstanton,General East,no,blocked,McDonnell Caravans
Bacton Road Caravan Park,NR28 0RA,http://www.thedreamlodgegroup.co.uk/our-locations/norfolk-park/overview/,https://www.staticcaravanparks.co.uk/parks/norfolk/bacton-road-caravan-park,01279 905 851,,,,master_parks_working.csv (Found (in original directory)),Norfolk,North Walsham,General East,no,no sales found,
Beach Caravan Park,PE31 7RB,https://www.myholidaycaravan.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/beach-caravan-park,,,,,master_parks_working.csv (Confirmed - real listing scraped),Norfolk,Snettisham,General East,no,listings not scraped,
Beeston Regis Caravan Park,NR27 9QZ,http://www.beestonregis.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/beeston-regis-caravan-park,01263 823614,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Beeston Regis,General East,yes,listings,
Broadland SA Ltd,NR14 8NG,http://www.broadlandsun.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/broadland-sa-ltd,07823 405582,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Stoke Holy Cross,General East,no,no sales found,
Bureside Holiday Park,NR29 3BW,http://bureside.com/,https://www.staticcaravanparks.co.uk/parks/norfolk/bureside-holiday-park,01493 369 233,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Ashby with Oby,General East,yes,no sales found,
Burgh Castle Marina and Caravan Park,NR31 9PZ,http://www.burghcastlemarina.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/burgh-castle-marina-and-caravan-park,01493 780 331,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Burgh Castle,General East,yes,blocked,
Burgh Hall Holiday Park,NR31 9EP,http://www.burghhallholidaypark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/burgh-hall-holiday-park,01493780847,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Burgh Castle,General East,yes,no sales found,
Cable Gap Holiday Park,NR12 0EW,http://www.cablegap.co.uk/,https://www.staticcaravanparks.co.uk/parks/norfolk/cable-gap-holiday-park,01692 650436,,,,master_parks_working.csv (Found (in original directory)),Norfolk,Bacton,General East,yes,blocked,
Forest Park Caravan Site,NR27 0JR,https://www.forestpark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/forest-park-caravan-site,01263 513290,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Northrepps,General East,no,no sales found,
Friary Farm Caravan Park,NR25 7NW,https://www.friaryfarm.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/friary-farm-caravan-park,01263 740 393,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Blakeney,General East,yes,enquire,
Ivy Farm Holiday Park,NR27 0AB,https://www.ivy-farm.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/ivy-farm-holiday-park,01263579239,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Overstrand,General East,no,no sales found,
Kelling Heath Holiday Park,NR25 7HW,https://www.kellingheath.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/kelling-heath-holiday-park,01263 588 181,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Weybourne,General East,yes,listings not scraped,
Kiln Cliffs Mundesley Ltd,NR11 8DF,http://www.kilncliffcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/kiln-cliffs-mundesley-ltd,01263 72 449,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Mundesley,General East,yes,no sales found,
Laburnum Caravan Park,NR27 9QP,https://www.laburnumcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/laburnum-caravan-park,01263 837473,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Runton,General East,yes,blocked,
Langmere Lakes,NR10 3BP,https://www.langmerelakes.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/langmere-lakes,1263 512 140,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Hainford,General East,no,enquire,
Long Acres Holiday Home Park,PE31 7BA,https://www.heachamholidays.com,https://www.staticcaravanparks.co.uk/parks/norfolk/long-acres-holiday-home-park,01485 572206,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Heacham,General East,no,listings not scraped,Heacham Holidays
Meadows Caravan Park Ltd,PE31 7LD,https://www.mcdonnellcaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/meadows-caravan-park-ltd,01485 572206,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Heacham,General East,no,listings,McDonnell Caravans
Newport Caravan Park,NR29 4NW,https://www.newportcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/newport-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Hemsby,General East,no,blocked,
Pinewood Caravan Park,NR27 9JN,https://www.pinewoodcaravanpark.com,https://www.staticcaravanparks.co.uk/parks/norfolk/pinewood-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Cromer,General East,no,listings not scraped,
Pinewoods Holiday Park,NR23 1DR,https://www.pinewoods.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/pinewoods-holiday-park,01328 710 439,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Wells-next-the-Sea,General East,yes,no sales found,
Putting Green Caravan Park,PE31 7AR,http://www.heachamholidays.com,https://www.staticcaravanparks.co.uk/parks/norfolk/putting-green-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Heacham,General East,no,listings not scraped,Heacham Holidays
Red House Chalet and Caravan Park,NR12 0JB,http://www.redhousechalets.co.uk,https://www.staticcaravanparks.co.uk/parks/norfolk/red-house-chalet-and-caravan-park,01692650815,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Bacton,General East,yes,enquire,
Riverside Holiday Home Park,PE31 7AR,https://www.heachamholidays.com,https://www.staticcaravanparks.co.uk/parks/norfolk/riverside-holiday-home-park,01485 570 676,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Norfolk,Heacham,General East,no,listings not scraped,Heacham Holidays
